timestamp,symbol,newPrice,change,signal
2025-04-23T11:13:57.652Z,BTC,93638.79,-0.04%,UNKNOWN
2025-04-23T11:13:57.653Z,ETH,1801.94,-0.13%,UNKNOWN
2025-04-23T11:14:59.277Z,BTC,93655.44,0.02%,UNKNOWN
2025-04-23T11:14:59.277Z,ETH,1802.53,0.03%,UNKNOWN
2025-04-23T11:16:00.903Z,BTC,93648.52,-0.01%,UNKNOWN
2025-04-23T11:16:00.903Z,ETH,1802.91,0.02%,UNKNOWN
2025-04-23T11:28:46.009Z,BTC,93695.18,-0.06%,UNKNOWN
2025-04-23T11:28:46.009Z,ETH,1804.57,-0.13%,UNKNOWN
2025-04-23T11:28:46.009Z,SOL,152.24,-0.11%,UNKNOWN
2025-04-23T11:28:46.009Z,LINK,15.09,-0.20%,UNKNOWN
2025-04-23T11:28:46.009Z,LTC,84.32,-0.11%,UNKNOWN
2025-04-23T11:28:46.009Z,DOGE,0.18,0.00%,UNKNOWN
2025-04-23T11:28:46.009Z,XRP,2.27,0.00%,UNKNOWN
2025-04-23T11:28:46.009Z,ADA,0.7,0.00%,UNKNOWN
2025-04-23T11:28:46.009Z,DOT,4.13,-0.24%,UNKNOWN
2025-04-23T11:28:46.010Z,CELO,0.33,0.00%,UNKNOWN
